t,offset,oldInt,newInt,oldFloat,newFloat
5.895,224,-1019172503,-1019172830,-192.6618,-192.6568
5.896,228,1055179780,1055082710,0.446808,0.4439151
5.896,232,1055179780,1055082710,0.446808,0.4439151
5.897,236,1055179780,1055082710,0.446808,0.4439151
5.898,240,-1123811762,-1123264155,-0.03222495,-0.03426494
5.899,244,-1148036066,-1147757458,-0.004466548,-0.004596285
5.9,248,-1090804787,-1090805214,-0.4914841,-0.4914714
5.9,260,1100161570,1100133605,18.39167,18.33833
5.902,352,1031864320,1027637248,0.06298828,0.04699707
5.955,12,1848,1845,2.5896E-42,2.585396E-42
5.957,216,-1062963006,-1059132187,-5.139741,-6.966418
5.957,220,-1075404920,-1074927540,-1.801744,-1.858652
5.958,224,-1019172830,-1019173214,-192.6568,-192.6509
5.959,228,1055082710,1054966585,0.4439151,0.4404543
5.959,232,1055082710,1054966585,0.4439151,0.4404543
5.96,236,1055082710,1054966585,0.4439151,0.4404543
5.961,240,-1123264155,-1119995190,-0.03426494,-0.04644278
5.962,244,-1147757458,-1147445700,-0.004596285,-0.004741458
5.963,248,-1090805214,-1090805715,-0.4914714,-0.4914564
5.964,260,1100133605,1100105558,18.33833,18.28483
5.965,352,1027637248,1027645440,0.04699707,0.04702759
6.017,12,1845,1841,2.585396E-42,2.57979E-42
6.018,216,-1059132187,-1059592954,-6.966418,-6.746707
6.019,220,-1074927540,-1074447487,-1.858652,-1.915878
6.019,224,-1019173214,-1019173658,-192.6509,-192.6441
6.02,228,1054966585,1054815662,0.4404543,0.4359564
6.021,232,1054966585,1054815662,0.4404543,0.4359564
6.022,236,1054966585,1054815662,0.4404543,0.4359564
6.022,240,-1119995190,-1120388378,-0.04644278,-0.04497804
6.023,244,-1147445700,-1147132196,-0.004741458,-0.004887445
6.024,248,-1090805715,-1090806296,-0.4914564,-0.4914391
6.025,260,1100105558,1100067860,18.28483,18.21293
6.025,352,1027645440,1031659520,0.04702759,0.0619812
6.048,12,1841,1838,2.57979E-42,2.575587E-42
6.049,48,0,1,0,1.401298E-45
6.05,60,0,8,0,1.121039E-44
6.051,64,0,1062171562,0,0.8103586
6.052,68,0,10,0,1.401298E-44
6.052,216,-1059592954,-1060537487,-6.746707,-6.296319
6.053,220,-1074447487,-1074287272,-1.915878,-1.934978
6.054,224,-1019173658,-1019173888,-192.6441,-192.6406
6.055,228,1054815662,1054706789,0.4359564,0.4327118
6.055,232,1054815662,1054706789,0.4359564,0.4327118
6.056,236,1054815662,1054706789,0.4359564,0.4327118
6.057,240,-1120388378,-1121194379,-0.04497804,-0.04197546
6.058,244,-1147132196,-1147027566,-0.004887445,-0.004936167
6.059,248,-1090806296,-1090806596,-0.4914391,-0.4914302
6.06,260,1100067860,1100039721,18.21293,18.15926
6.061,352,1031659520,1027637248,0.0619812,0.04699707
6.11,12,1838,1835,2.575587E-42,2.571383E-42
6.111,48,1,0,1.401298E-45,0
6.112,60,8,0,1.121039E-44,0
